ปีการศึกษา,ปี,ลำดับที่,คณะ/ชื่อ,จำนวนบัณฑิตสำเร็จการศึกษา (คน),จำนวนบัณฑิตที่ได้รับการประเมิน (คน),TQF_จำนวนผู้ตอบ,TQF_ค่าเฉลี่ย (1-5),TQF_Element1,TQF_Element2,TQF_Element3,TQF_Element4,TQF_Element5,GREATS_จำนวนผู้ตอบ,GREATS_ค่าเฉลี่ย (1-5),G_GlobalMindset,R_Responsibility,E_Eloquence,A_AestheticAppreciation,T_TeamLeader,S_SpiritOfThammasat
2563,63,1,คณะนิติศาสตร์,882,130,130.0,4.77,4.8,4.72,4.81,4.78,4.74,130.0,4.78,4.8,4.77,4.74,4.84,4.76,4.76
2563,63,2,คณะพาณิชยศาสตร์และการบัญชี,1037,181,181.0,4.69,4.74,4.56,4.71,4.81,4.64,181.0,4.62,4.64,4.69,4.63,4.42,4.77,4.59
2563,63,3,คณะรัฐศาสตร์,462,136,136.0,4.78,4.77,4.77,4.82,4.78,4.75,136.0,4.77,4.77,4.79,4.75,4.73,4.79,4.8
2563,63,4,คณะเศรษฐศาสตร์,395,121,121.0,4.48,4.47,4.41,4.67,4.5,4.35,121.0,4.45,4.44,4.55,4.33,4.28,4.5,4.57
2563,63,5,คณะสังคมสงเคราะห์ศาสตร์,335,57,57.0,4.52,4.62,4.34,4.74,4.43,4.47,57.0,4.51,4.57,4.47,4.47,4.36,4.48,4.72
2563,63,6,คณะศิลปศาสตร์,881,239,239.0,4.21,4.26,4.1,4.1,4.25,4.37,239.0,4.14,4.16,4.21,4.28,3.78,4.26,4.15
2563,63,7,คณะวารสารศาสตร์และสื่อสารมวลชน,385,150,150.0,4.26,4.25,4.23,4.33,4.3,4.18,150.0,4.24,4.23,4.3,4.22,4.23,4.26,4.2
2563,63,8,คณะสังคมวิทยาและมานุษยวิทยา,191,49,49.0,4.53,4.54,4.44,4.75,4.55,4.35,49.0,4.52,4.49,4.59,4.3,4.43,4.6,4.72
2563,63,9,คณะศิลปกรรมศาสตร์,90,54,54.0,4.47,4.47,4.42,4.46,4.53,4.46,54.0,4.48,4.43,4.5,4.46,4.51,4.5,4.46
2563,63,10,สถาบันภาษา,75,33,33.0,4.86,4.87,4.81,4.96,4.88,4.81,33.0,4.85,4.81,4.89,4.81,4.8,4.91,4.88
